user_id,recency_days,freq_orders,monetary_gmv,r_score,f_score,m_score,segment
4560,36,2,2164.0,3,4,5,重要保持客户
773,21,1,2157.0,2,1,5,重要挽留客户
3878,48,1,2152.0,4,2,5,重要发展客户
4226,65,1,2142.0,5,2,5,重要发展客户
7034,48,2,2103.0,4,4,5,重要价值客户
5197,46,1,2100.0,4,2,5,重要发展客户
1574,25,3,2097.99,2,5,5,重要保持客户
7268,6,4,2095.0,1,5,5,重要保持客户
6292,17,3,2094.0,2,5,5,重要保持客户
9691,68,1,2092.0,5,3,5,重要发展客户
4801,15,4,2092.0,2,5,5,重要保持客户
4854,34,1,2088.0,3,1,5,重要挽留客户
6278,70,1,2088.0,5,3,5,重要发展客户
6053,33,1,2088.0,3,1,5,重要挽留客户
3947,11,2,2076.0,1,4,5,重要保持客户
6441,6,3,2068.0,1,5,5,重要保持客户
6713,18,5,2043.0,2,5,5,重要保持客户
8678,4,3,2002.0,1,5,5,重要保持客户
4045,0,5,1990.0,1,5,5,重要保持客户
2778,0,4,1968.0,1,5,5,重要保持客户
5744,4,6,1962.0,1,5,5,重要保持客户
6285,23,4,1959.0,2,5,5,重要保持客户
4022,42,1,1914.0,3,2,5,重要挽留客户
3858,15,4,1909.0,2,5,5,重要保持客户
9417,22,3,1906.0,2,5,5,重要保持客户
5613,7,1,1897.0,1,1,5,重要挽留客户
9244,62,1,1897.0,4,2,5,重要发展客户
8738,27,2,1870.0,3,4,5,重要保持客户
4957,48,2,1858.0,4,4,5,重要价值客户
4394,39,4,1843.0,3,5,5,重要保持客户
2687,57,2,1842.0,4,5,5,重要价值客户
7974,40,2,1828.0,3,4,5,重要保持客户
2631,16,4,1820.0,2,5,5,重要保持客户
8056,25,3,1814.0,2,5,5,重要保持客户
332,3,3,1802.0,1,5,5,重要保持客户
9815,6,4,1782.0,1,5,5,重要保持客户
1415,32,4,1777.0,3,5,5,重要保持客户
3737,14,3,1776.0,2,5,5,重要保持客户
472,41,3,1775.0,3,5,5,重要保持客户
2391,7,5,1773.0,1,5,5,重要保持客户
4714,17,4,1765.0,2,5,5,重要保持客户
3621,42,2,1758.0,3,4,5,重要保持客户
3731,3,3,1755.0,1,5,5,重要保持客户
3892,3,4,1749.0,1,5,5,重要保持客户
9026,1,6,1738.0,1,5,5,重要保持客户
5478,39,1,1736.0,3,2,5,重要挽留客户
9739,1,5,1727.0,1,5,5,重要保持客户
9034,5,6,1696.0,1,5,5,重要保持客户
8917,9,5,1677.0,1,5,5,重要保持客户
4373,9,2,1661.0,1,4,5,重要保持客户
3495,35,4,1657.0,3,5,5,重要保持客户
2400,21,3,1652.0,2,5,5,重要保持客户
3373,2,6,1650.98,1,5,5,重要保持客户
8779,8,4,1646.0,1,5,5,重要保持客户
532,10,5,1646.0,1,5,5,重要保持客户
3483,8,5,1639.0,1,5,5,重要保持客户
8595,33,2,1616.0,3,4,5,重要保持客户
2114,24,5,1603.0,2,5,5,重要保持客户
4996,24,3,1598.8,2,5,5,重要保持客户
5429,9,1,1573.0,1,1,5,重要挽留客户
4808,3,4,1573.0,1,5,5,重要保持客户
4977,7,3,1566.0,1,5,5,重要保持客户
1470,23,5,1564.0,2,5,5,重要保持客户
7114,14,5,1555.0,2,5,5,重要保持客户
8512,8,1,1554.0,1,1,5,重要挽留客户
4508,3,3,1550.0,1,5,5,重要保持客户
7714,7,3,1548.0,1,5,5,重要保持客户
2951,17,2,1547.0,2,4,5,重要保持客户
9108,11,6,1547.0,1,5,5,重要保持客户
3607,4,4,1540.0,1,5,5,重要保持客户
8098,43,2,1521.0,4,4,5,重要价值客户
3556,50,1,1520.0,4,2,5,重要发展客户
2756,58,1,1520.0,4,2,5,重要发展客户
8980,8,2,1517.0,1,4,5,重要保持客户
8223,0,2,1513.0,1,3,5,重要挽留客户
3117,53,2,1503.0,4,4,5,重要价值客户
1591,32,2,1486.0,3,4,5,重要保持客户
4483,20,3,1481.0,2,5,5,重要保持客户
6434,37,3,1480.0,3,5,5,重要保持客户
2477,4,6,1480.0,1,5,5,重要保持客户
1454,26,2,1477.0,3,4,5,重要保持客户
6782,13,4,1474.0,2,5,5,重要保持客户
112,3,4,1472.0,1,5,5,重要保持客户
736,7,3,1471.0,1,5,5,重要保持客户
2667,53,2,1463.0,4,4,5,重要价值客户
3381,66,3,1462.0,5,5,5,重要价值客户
2889,1,2,1461.0,1,3,5,重要挽留客户
853,42,2,1460.0,3,4,5,重要保持客户
1902,12,5,1457.0,2,5,5,重要保持客户
4621,0,1,1456.0,1,1,5,重要挽留客户
1892,8,5,1451.0,1,5,5,重要保持客户
2572,7,3,1451.0,1,5,5,重要保持客户
8112,10,1,1440.0,1,1,5,重要挽留客户
8960,48,1,1440.0,4,2,5,重要发展客户
6254,78,1,1440.0,5,3,5,重要发展客户
6474,15,2,1436.0,2,4,5,重要保持客户
6068,31,3,1429.0,3,5,5,重要保持客户
133,59,2,1420.0,4,5,5,重要价值客户
463,2,5,1418.0,1,5,5,重要保持客户
6875,11,3,1408.0,1,5,5,重要保持客户
7058,52,1,1406.0,4,2,5,重要发展客户
4884,3,1,1406.0,1,1,5,重要挽留客户
6346,64,1,1406.0,4,2,5,重要发展客户
9554,14,1,1406.0,2,1,5,重要挽留客户
7620,44,1,1406.0,4,2,5,重要发展客户
9515,40,1,1400.0,3,2,5,重要挽留客户
3683,0,4,1395.0,1,5,5,重要保持客户
9128,1,6,1389.0,1,5,5,重要保持客户
6601,7,2,1383.0,1,4,5,重要保持客户
6946,23,2,1380.0,2,4,5,重要保持客户
8850,13,2,1378.0,2,4,5,重要保持客户
3173,51,3,1378.0,4,5,5,重要价值客户
5938,1,2,1367.0,1,3,5,重要挽留客户
2568,9,4,1358.0,1,5,5,重要保持客户
2136,6,3,1337.0,1,5,5,重要保持客户
5713,19,4,1327.0,2,5,5,重要保持客户
8923,0,5,1321.0,1,5,5,重要保持客户
9200,65,1,1320.0,5,2,5,重要发展客户
8080,86,1,1320.0,5,3,5,重要发展客户
4391,3,1,1320.0,1,1,5,重要挽留客户
5949,3,1,1320.0,1,1,5,重要挽留客户
789,21,4,1317.87,2,5,5,重要保持客户
9416,11,3,1316.0,1,5,5,重要保持客户
8028,47,1,1314.0,4,2,5,重要发展客户
5698,56,1,1311.0,4,2,5,重要发展客户
7309,39,2,1310.0,3,4,5,重要保持客户
1534,75,1,1308.0,5,3,5,重要发展客户
6499,84,1,1306.0,5,3,5,重要发展客户
468,46,1,1302.0,4,2,5,重要发展客户
312,49,1,1302.0,4,2,5,重要发展客户
989,30,1,1298.23,3,1,5,重要挽留客户
3797,4,2,1291.0,1,4,5,重要保持客户
5798,21,2,1291.0,2,4,5,重要保持客户
7229,10,2,1288.0,1,4,5,重要保持客户
7428,2,1,1288.0,1,1,5,重要挽留客户
6553,11,4,1285.0,1,5,5,重要保持客户
1227,17,4,1280.0,2,5,5,重要保持客户
4266,11,5,1279.0,1,5,5,重要保持客户
1861,7,5,1269.0,1,5,5,重要保持客户
6599,19,4,1268.0,2,5,5,重要保持客户
4719,86,1,1266.0,5,3,5,重要发展客户
6558,26,1,1266.0,3,1,5,重要挽留客户
8520,31,1,1266.0,3,1,5,重要挽留客户
5390,1,1,1266.0,1,1,5,重要挽留客户
1693,49,1,1266.0,4,2,5,重要发展客户
362,15,1,1266.0,2,1,5,重要挽留客户
5019,1,3,1260.0,1,5,5,重要保持客户
6216,5,6,1258.0,1,5,5,重要保持客户
6534,8,5,1258.0,1,5,5,重要保持客户
4368,16,5,1257.0,2,5,5,重要保持客户
2082,25,1,1255.0,2,1,5,重要挽留客户
1478,52,2,1249.0,4,4,5,重要价值客户
8057,26,1,1248.0,3,1,5,重要挽留客户
1375,31,2,1248.0,3,4,5,重要保持客户
5893,29,5,1247.51,3,5,5,重要保持客户
533,46,1,1237.0,4,2,5,重要发展客户
6882,12,6,1236.0,2,5,5,重要保持客户
111,12,5,1233.0,1,5,5,重要保持客户
4328,79,1,1230.0,5,3,5,重要发展客户
6544,5,1,1230.0,1,1,5,重要挽留客户
3929,7,1,1230.0,1,1,5,重要挽留客户
3753,67,1,1230.0,5,3,5,重要发展客户
6252,23,2,1228.0,2,4,5,重要保持客户
9482,15,2,1219.0,2,4,5,重要保持客户
8976,5,2,1208.0,1,4,5,重要保持客户
1542,9,3,1202.0,1,5,5,重要保持客户
2958,27,2,1198.0,3,4,5,重要保持客户
1853,25,1,1194.0,2,1,5,重要挽留客户
19,12,3,1192.0,1,5,5,重要保持客户
2575,43,2,1185.0,4,4,5,重要价值客户
2891,23,2,1184.0,2,4,5,重要保持客户
8479,8,2,1183.0,1,4,5,重要保持客户
1035,38,4,1182.0,3,5,5,重要保持客户
4127,11,1,1176.0,1,1,5,重要挽留客户
6134,6,5,1175.0,1,5,5,重要保持客户
5598,39,1,1170.0,3,2,5,重要挽留客户
6404,35,1,1170.0,3,2,5,重要挽留客户
3164,3,4,1169.0,1,5,5,重要保持客户
8907,4,5,1166.0,1,5,5,重要保持客户
9926,1,5,1161.0,1,5,5,重要保持客户
9799,8,2,1160.0,1,4,5,重要保持客户
2452,10,4,1157.0,1,5,5,重要保持客户
2701,43,2,1154.0,4,4,5,重要价值客户
8433,5,3,1151.0,1,5,5,重要保持客户
8630,24,2,1148.0,2,4,5,重要保持客户
5690,29,3,1148.0,3,5,5,重要保持客户
1558,51,2,1147.0,4,4,5,重要价值客户
6509,35,1,1146.0,3,2,5,重要挽留客户
1532,90,1,1146.0,5,3,5,重要发展客户
709,68,2,1146.0,5,5,5,重要价值客户
7851,9,3,1141.0,1,5,5,重要保持客户
6336,55,2,1138.0,4,4,5,重要价值客户
6666,18,2,1137.0,2,4,5,重要保持客户
8229,27,2,1135.0,3,4,5,重要保持客户
6849,0,1,1132.0,1,1,5,重要挽留客户
7839,4,4,1131.0,1,5,5,重要保持客户
7624,6,4,1131.0,1,5,5,重要保持客户
6309,31,2,1129.0,3,4,5,重要保持客户
8672,66,1,1127.0,5,3,5,重要发展客户
2895,11,7,1126.0,1,5,5,重要保持客户
869,10,4,1123.0,1,5,5,重要保持客户
2523,6,2,1121.0,1,4,5,重要保持客户
7664,13,2,1120.0,2,4,5,重要保持客户
2450,52,1,1119.0,4,2,5,重要发展客户
5259,31,2,1115.0,3,4,5,重要保持客户
3853,33,1,1114.0,3,1,5,重要挽留客户
9535,36,1,1114.0,3,2,5,重要挽留客户
5994,8,5,1110.0,1,5,5,重要保持客户
7354,3,4,1109.0,1,5,5,重要保持客户
9720,43,2,1106.0,4,4,5,重要价值客户
5752,31,2,1104.0,3,4,5,重要保持客户
4123,3,4,1102.0,1,5,5,重要保持客户
9962,32,3,1102.0,3,5,5,重要保持客户
1288,73,1,1101.0,5,3,5,重要发展客户
8174,73,1,1101.0,5,3,5,重要发展客户
5861,1,3,1099.0,1,5,5,重要保持客户
6155,42,2,1095.0,3,4,5,重要保持客户
6619,9,3,1094.0,1,5,5,重要保持客户
3571,32,2,1093.0,3,4,5,重要保持客户
551,5,6,1092.0,1,5,5,重要保持客户
5552,52,2,1083.0,4,4,5,重要价值客户
6175,15,2,1082.0,2,4,5,重要保持客户
9773,47,2,1079.0,4,4,5,重要价值客户
2298,42,3,1074.0,3,5,5,重要保持客户
2078,15,1,1071.0,2,1,5,重要挽留客户
2300,74,1,1071.0,5,3,5,重要发展客户
7404,12,1,1071.0,2,1,5,重要挽留客户
6478,8,6,1070.0,1,5,5,重要保持客户
8561,4,4,1064.0,1,5,5,重要保持客户
2255,6,4,1064.0,1,5,5,重要保持客户
9616,17,4,1057.0,2,5,5,重要保持客户
2002,31,2,1052.0,3,4,5,重要保持客户
3662,4,3,1050.0,1,5,5,重要保持客户
891,43,1,1048.0,4,2,5,重要发展客户
1528,36,2,1048.0,3,4,5,重要保持客户
2512,2,3,1048.0,1,5,5,重要保持客户
3510,75,1,1046.0,5,3,5,重要发展客户
4701,15,1,1046.0,2,1,5,重要挽留客户
5780,40,1,1046.0,3,2,5,重要挽留客户
781,17,1,1046.0,2,1,5,重要挽留客户
1466,41,1,1046.0,3,2,5,重要挽留客户
5341,33,1,1046.0,3,1,5,重要挽留客户
5789,66,1,1046.0,5,3,5,重要发展客户
5757,3,1,1046.0,1,1,5,重要挽留客户
7097,33,1,1046.0,3,1,5,重要挽留客户
3904,1,5,1044.0,1,5,5,重要保持客户
9119,7,4,1042.0,1,5,5,重要保持客户
9261,16,3,1040.0,2,5,5,重要保持客户
475,6,3,1039.0,1,5,5,重要保持客户
8615,34,2,1038.0,3,4,5,重要保持客户
189,90,1,1036.0,5,3,5,重要发展客户
6893,5,1,1036.0,1,1,5,重要挽留客户
9610,15,3,1024.0,2,5,5,重要保持客户
4534,9,2,1023.0,1,4,5,重要保持客户
8228,51,2,1022.0,4,4,5,重要价值客户
7855,12,3,1021.0,2,5,5,重要保持客户
1840,25,3,1015.0,2,5,5,重要保持客户
7945,20,3,1012.0,2,5,5,重要保持客户
4856,24,3,1011.0,2,5,5,重要保持客户
5928,36,3,1009.0,3,5,5,重要保持客户
9157,28,5,1009.0,3,5,5,重要保持客户
3787,29,3,1008.0,3,5,5,重要保持客户
4441,47,2,1003.0,4,4,5,重要价值客户
7803,9,4,1002.0,1,5,5,重要保持客户
6007,32,2,997.0,3,4,5,重要保持客户
1964,11,2,996.0,1,4,5,重要保持客户
6497,21,4,996.0,2,5,5,重要保持客户
7225,16,4,992.0,2,5,5,重要保持客户
6046,8,3,990.0,1,5,5,重要保持客户
933,4,3,988.0,1,5,5,重要保持客户
6985,28,4,987.0,3,5,5,重要保持客户
6321,20,3,985.0,2,5,5,重要保持客户
3205,68,1,982.0,5,3,5,重要发展客户
7723,57,1,978.0,4,2,5,重要发展客户
9919,12,4,973.0,2,5,5,重要保持客户
4386,29,4,972.0,3,5,5,重要保持客户
5310,17,3,971.0,2,5,5,重要保持客户
6181,43,2,970.0,4,4,5,重要价值客户
5777,32,3,960.0,3,5,5,重要保持客户
2399,34,2,958.0,3,4,5,重要保持客户
554,21,3,957.0,2,5,5,重要保持客户
3796,42,3,957.0,3,5,5,重要保持客户
3561,8,2,955.0,1,4,5,重要保持客户
5449,1,4,952.0,1,5,5,重要保持客户
1387,14,4,950.0,2,5,5,重要保持客户
4147,15,2,949.0,2,4,5,重要保持客户
9250,27,3,949.0,3,5,5,重要保持客户
1607,20,3,947.0,2,5,5,重要保持客户
928,1,5,946.0,1,5,5,重要保持客户
3846,54,2,945.0,4,4,5,重要价值客户
9248,29,1,944.0,3,1,5,重要挽留客户
5251,6,2,936.0,1,4,5,重要保持客户
6670,9,4,936.0,1,5,5,重要保持客户
7284,7,4,933.0,1,5,5,重要保持客户
1005,6,5,932.0,1,5,5,重要保持客户
342,11,5,932.0,1,5,5,重要保持客户
7916,8,1,926.0,1,1,5,重要挽留客户
5421,18,3,922.0,2,5,5,重要保持客户
9718,2,3,920.0,1,5,5,重要保持客户
4357,3,5,920.0,1,5,5,重要保持客户
6319,7,3,919.0,1,5,5,重要保持客户
8071,27,4,917.0,3,5,5,重要保持客户
4001,49,2,916.0,4,4,5,重要价值客户
9407,20,3,915.0,2,5,5,重要保持客户
6765,12,3,915.0,2,5,5,重要保持客户
7926,38,2,913.0,3,4,5,重要保持客户
851,30,3,912.0,3,5,5,重要保持客户
8357,34,5,907.0,3,5,5,重要保持客户
3620,19,4,907.0,2,5,5,重要保持客户
8283,27,1,905.0,3,1,5,重要挽留客户
3385,43,2,905.0,4,4,5,重要价值客户
846,12,2,904.0,1,4,5,重要保持客户
2169,4,4,892.0,1,5,5,重要保持客户
9985,7,2,890.0,1,4,5,重要保持客户
4106,3,3,889.0,1,5,5,重要保持客户
9299,47,2,889.0,4,4,5,重要价值客户
2036,4,3,888.0,1,5,5,重要保持客户
2383,20,3,888.0,2,5,5,重要保持客户
496,28,3,888.0,3,5,5,重要保持客户
3014,2,3,888.0,1,5,5,重要保持客户
4987,33,3,881.0,3,5,5,重要保持客户
3521,4,6,878.0,1,5,5,重要保持客户
3163,17,4,878.0,2,5,5,重要保持客户
1701,2,4,877.0,1,5,5,重要保持客户
4564,32,2,876.0,3,4,5,重要保持客户
8397,15,4,874.0,2,5,5,重要保持客户
4549,83,1,872.0,5,3,5,重要发展客户
8966,48,2,872.0,4,4,5,重要价值客户
8072,16,3,870.88,2,5,5,重要保持客户
8254,16,5,870.0,2,5,5,重要保持客户
6326,13,3,869.0,2,5,5,重要保持客户
6372,7,3,864.0,1,5,5,重要保持客户
3583,16,4,863.0,2,5,5,重要保持客户
948,9,3,862.0,1,5,5,重要保持客户
2390,21,5,861.0,2,5,5,重要保持客户
6300,52,2,859.0,4,4,5,重要价值客户
2119,62,2,858.0,4,5,5,重要价值客户
7028,16,3,856.0,2,5,5,重要保持客户
465,20,4,854.03,2,5,5,重要保持客户
6476,31,3,852.0,3,5,5,重要保持客户
2201,30,3,850.0,3,5,5,重要保持客户
6569,10,2,849.0,1,4,5,重要保持客户
5102,12,4,846.68,2,5,5,重要保持客户
2520,16,2,846.0,2,4,5,重要保持客户
9844,36,1,844.0,3,2,5,重要挽留客户
5270,5,1,844.0,1,1,5,重要挽留客户
6773,78,1,844.0,5,3,5,重要发展客户
2016,13,1,844.0,2,1,5,重要挽留客户
6837,80,1,844.0,5,3,5,重要发展客户
2354,23,1,844.0,2,1,5,重要挽留客户
8189,13,4,842.0,2,5,5,重要保持客户
4176,24,2,840.0,2,4,5,重要保持客户
698,70,2,840.0,5,5,5,重要价值客户
9668,26,3,834.0,3,5,5,重要保持客户
2299,0,5,832.0,1,5,5,重要保持客户
5021,20,3,831.0,2,5,5,重要保持客户
771,21,2,829.0,2,4,5,重要保持客户
1732,50,1,828.0,4,2,5,重要发展客户
3526,19,3,827.0,2,5,5,重要保持客户
5783,27,4,826.0,3,5,5,重要保持客户
858,0,4,823.0,1,5,5,重要保持客户
1752,29,3,823.0,3,5,5,重要保持客户
8054,47,2,820.0,4,4,5,重要价值客户
946,8,3,820.0,1,5,5,重要保持客户
5621,12,2,819.0,2,4,5,重要保持客户
2291,42,3,817.0,3,5,5,重要保持客户
4466,5,2,816.0,1,4,5,重要保持客户
6436,4,3,814.0,1,5,5,重要保持客户
2049,2,4,813.0,1,5,5,重要保持客户
4662,37,2,811.0,3,4,5,重要保持客户
9543,2,6,810.0,1,5,5,重要保持客户
707,64,2,809.0,4,5,5,重要价值客户
4069,14,3,807.0,2,5,5,重要保持客户
7187,8,3,806.0,1,5,5,重要保持客户
5652,8,5,805.0,1,5,5,重要保持客户
2833,84,1,804.0,5,3,5,重要发展客户
4614,49,2,798.0,4,4,5,重要价值客户
658,6,2,796.0,1,4,5,重要保持客户
5986,22,3,795.0,2,5,5,重要保持客户
3429,35,2,795.0,3,4,5,重要保持客户
1425,19,5,794.0,2,5,5,重要保持客户
34,20,3,792.0,2,5,5,重要保持客户
360,22,3,792.0,2,5,5,重要保持客户
1670,22,2,790.0,2,4,5,重要保持客户
1546,28,3,790.0,3,5,5,重要保持客户
3289,15,5,790.0,2,5,5,重要保持客户
4993,26,2,789.0,3,4,5,重要保持客户
4517,21,5,789.0,2,5,5,重要保持客户
372,9,2,787.0,1,4,5,重要保持客户
8519,45,2,785.0,4,4,5,重要价值客户
6011,5,1,784.0,1,1,5,重要挽留客户
8135,34,1,784.0,3,1,5,重要挽留客户
3240,41,1,784.0,3,2,5,重要挽留客户
837,4,1,784.0,1,1,5,重要挽留客户
2620,53,2,780.0,4,4,5,重要价值客户
7882,19,1,778.0,2,1,5,重要挽留客户
7467,11,6,778.0,1,5,5,重要保持客户
4450,0,4,777.0,1,5,5,重要保持客户
4488,22,5,777.0,2,5,5,重要保持客户
3975,8,5,775.0,1,5,5,重要保持客户
5060,14,4,775.0,2,5,5,重要保持客户
2844,44,2,774.0,4,4,5,重要价值客户
9105,0,5,772.0,1,5,5,重要保持客户
4890,25,2,772.0,2,4,5,重要保持客户
1026,1,5,772.0,1,5,5,重要保持客户
5089,35,2,772.0,3,4,5,重要保持客户
7821,7,3,772.0,1,5,5,重要保持客户
4583,3,2,771.0,1,4,5,重要保持客户
8591,2,3,771.0,1,5,5,重要保持客户
8199,8,3,771.0,1,5,5,重要保持客户
7531,35,3,770.0,3,5,5,重要保持客户
637,23,3,769.0,2,5,5,重要保持客户
2009,21,1,763.0,2,1,5,重要挽留客户
4088,16,3,762.0,2,5,5,重要保持客户
6387,10,3,758.0,1,5,5,重要保持客户
9695,60,1,756.0,4,2,5,重要发展客户
8836,30,2,755.36,3,4,5,重要保持客户
4430,40,1,755.0,3,2,5,重要挽留客户
9006,35,3,747.0,3,5,5,重要保持客户
7335,0,3,745.0,1,5,5,重要保持客户
7774,68,1,744.0,5,3,5,重要发展客户
7790,2,5,744.0,1,5,5,重要保持客户
727,15,4,743.67,2,5,5,重要保持客户
2668,37,2,742.0,3,4,5,重要保持客户
1269,75,1,741.0,5,3,5,重要发展客户
4100,42,2,740.0,3,4,5,重要保持客户
5083,24,3,740.0,2,5,5,重要保持客户
6754,22,4,739.0,2,5,5,重要保持客户
4164,43,3,738.0,4,5,5,重要价值客户
7988,39,1,734.0,3,2,5,重要挽留客户
482,71,1,734.0,5,3,5,重要发展客户
6659,79,1,734.0,5,3,5,重要发展客户
6860,1,1,734.0,1,1,5,重要挽留客户
4781,49,2,731.0,4,4,5,重要价值客户
6857,75,1,730.0,5,3,5,重要发展客户
9082,44,2,730.0,4,4,5,重要价值客户
7127,77,1,729.0,5,3,5,重要发展客户
4505,1,2,727.0,1,3,5,重要挽留客户
3287,1,5,725.0,1,5,5,重要保持客户
1777,12,4,725.0,2,5,5,重要保持客户
9451,19,2,723.0,2,4,5,重要保持客户
3197,24,3,723.0,2,5,5,重要保持客户
2660,66,1,722.0,5,3,5,重要发展客户
3199,79,1,720.0,5,3,5,重要发展客户
5243,35,1,720.0,3,2,5,重要挽留客户
2083,60,1,720.0,4,2,5,重要发展客户
5414,83,1,720.0,5,3,5,重要发展客户
1116,45,1,720.0,4,2,5,重要发展客户
9149,70,1,720.0,5,3,5,重要发展客户
1741,2,1,720.0,1,1,5,重要挽留客户
8157,88,1,720.0,5,3,5,重要发展客户
7173,46,1,720.0,4,2,5,重要发展客户
2258,79,1,720.0,5,3,5,重要发展客户
8499,2,1,720.0,1,1,5,重要挽留客户
3862,6,2,720.0,1,4,5,重要保持客户
2385,54,1,720.0,4,2,5,重要发展客户
5513,29,4,719.32,3,5,5,重要保持客户
540,5,4,718.0,1,5,5,重要保持客户
5946,14,4,717.59,2,5,5,重要保持客户
7035,6,5,714.0,1,5,5,重要保持客户
1461,25,5,714.0,2,5,5,重要保持客户
5452,19,2,714.0,2,4,5,重要保持客户
6347,4,3,714.0,1,5,5,重要保持客户
604,3,4,713.0,1,5,5,重要保持客户
1611,13,3,713.0,2,5,5,重要保持客户
4809,12,2,712.0,2,4,5,重要保持客户
9134,16,4,712.0,2,5,5,重要保持客户
5985,18,3,711.0,2,5,5,重要保持客户
7627,6,3,707.0,1,5,5,重要保持客户
4807,22,3,705.0,2,5,5,重要保持客户
2938,28,3,703.0,3,5,5,重要保持客户
1990,43,1,702.0,4,2,5,重要发展客户
8401,32,2,702.0,3,4,5,重要保持客户
5967,30,2,701.0,3,4,5,重要保持客户
